time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-20T02:04:27.640Z,-3.2379,146.4274,10,4.6,mb,,65,1.512,0.43,us,us10007arm,2016-11-20T02:33:37.040Z,"163km SW of Lorengau, Papua New Guinea",earthquake,9.4,1.9,0.103,28,reviewed,us,us
2016-11-20T01:47:10.300Z,59.6804,-152.576,25.1,2.6,ml,,,,0.56,ak,ak14368791,2016-11-20T01:51:55.011Z,"43km WSW of Anchor Point, Alaska",earthquake,,1,,,automatic,ak,ak
2016-11-20T01:47:06.184Z,60.3299,-153.0871,128.2,3.2,ml,,,,0.73,ak,ak14368785,2016-11-20T07:58:17.758Z,"25km SW of Redoubt Volcano, Alaska",earthquake,,0.5,,,automatic,ak,ak
2016-11-20T01:47:04.651Z,60.0982,-153.1417,145.4,2.8,ml,,,,0.51,ak,ak14368794,2016-11-20T01:56:36.070Z,"48km SSW of Redoubt Volcano, Alaska",earthquake,,1.3,,,automatic,ak,ak
2016-11-20T00:58:11.130Z,-61.4484,-57.024,10,5.1,mb,,88,1.109,0.94,us,us10007aqr,2016-11-20T01:15:04.040Z,"South Shetland Islands",earthquake,6.5,1.2,0.063,82,reviewed,us,us
2016-11-20T00:55:01.240Z,-6.262,150.2511,39.39,4.6,mb,,94,2.803,0.53,us,us10007aqp,2016-11-20T01:30:03.040Z,"77km E of Kandrian, Papua New Guinea",earthquake,10.4,9.2,0.132,17,reviewed,us,us
2016-11-20T00:49:00.410Z,-17.6203,-70.4946,107.45,4.2,mb,,143,0.76,0.79,us,us10007aqh,2016-11-20T01:04:23.040Z,"22km S of Ilabaya, Peru",earthquake,6.5,7,0.131,16,reviewed,us,us
2016-11-20T00:23:32.700Z,17.8892,-65.6344,6,3,Md,12,180,0.22098556,0.4,pr,pr16325000,2016-11-20T02:06:47.974Z,"28km SE of El Negro, Puerto Rico",earthquake,0.7,1,0,11,reviewed,pr,pr
2016-11-20T00:06:26.800Z,51.9332,-171.9441,27.68,4.3,mb,,181,1.54,1.01,us,us10007aq2,2016-11-20T00:26:49.040Z,"77km SW of Amukta Island, Alaska",earthquake,11.5,8.4,0.069,60,reviewed,us,us
2016-11-19T23:01:14.650Z,3.642,122.9183,551.75,4.7,mb,,67,3.297,0.78,us,us10007apf,2016-11-19T23:16:38.040Z,"287km SSE of Tabiauan, Philippines",earthquake,10.3,8.4,0.06,84,reviewed,us,us
